Sweden,,,,,
Date,Date,Region,Event,Filter,Source
1.4.2020,,National,Prime Minister’s Office appoints Operations Centre to support management of COVID-19 situation,Management,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/10616/valtioneuvoston-kanslia-perusti-operaatiokeskuksen-tukemaan-koronavirustilanteen-johtamista-
1.4.2020,,National,Ministry of Social Affairs and Health clarifies the instructions to municipalities on home care services during the coronavirus outbreak,Healthcare,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1271139/sosiaali-ja-terveysministerio-tasmentaa-kuntiin-annettua-ohjetta-kotiin-annettavista-palveluista-koronavirustilanteessa
1.4.2020,,National,Government strengthens its management of COVID-19,Management,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/10616/valtioneuvoston-koronajohtamista-vahvistettiin
31.3.2020,,National,Ministry of Social Affairs and Health gives instructions to municipalities on home care services during the coronavirus outbreak,Healthcare,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1271139/sosiaali-ja-terveysministerio-ohjeistaa-kuntia-kotiin-annettavista-palveluista-koronavirustilanteessa
30.3.2020,,National,Government extends measures related to emergency conditions until 13 May,Management,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/10616/hallitus-jatkaa-poikkeusoloihin-liittyvia-toimia-13-toukokuuta-saakka
28.3.2020,,Region,Restrictions on movement to and from Uusimaa enter into force on 28 March 2020,Restrictions,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/10616/liikkumisrajoitukset-uudellemaalle-voimaan-28-maaliskuuta-2020-klo-00-00
27.3.2020,,National,More stringent controls placed on people arriving from abroad,Border control,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/10616/ulkomailta-saapuvien-kontrolli-tiukentuu
25.3.2020,,National,Obligation to work in the healthcare sector secures the adequacy of workforce,Healthcare,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1410877/tyontekijan-tyovelvollisuus-turvaa-tyovoiman-riittavyytta-terveydenhuollossa
25.3.2020,,National,Ministry of Social Affairs and Health: Guidelines for protecting health of employees during coronavirus epidemic,Healthcare,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1271139/stm-ohjeet-tyontekijoiden-terveyden-suojelemiseksi-koronavirustilanteessa
24.3.2020,,National,"Restaurants closed to customers, ordering takeaway permitted","Society, restrictions, resturants",https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1410877/ravintolat-sulkeutuvat-asiakkailta-ruokaa-voi-kuitenkin-tilata-ja-noutaa
24.3.2020,,National,Ministry for Foreign Affairs adopts emergency management arrangements,Management,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/ulkoministerio-siirtyy-tilanneorganisaatioon
20.3.2020,,National,Change in effect for the necessary travel for work across internal borders,Travel restriction,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1410869/muutos-sisarajoilla-sallittavaan-valttamattomaan-tyomatkaliikenteeseen
19.3.2020,,National,Advice for the over-70s on protecting themselves from the coronavirus,Society - public information,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1271139/mita-yli-70-vuotiaan-pitaa-ottaa-huomioon-koronavirustilanteessa-
16.3.2020,,National,"Government, in cooperation with the President of the Republic, declares a state of emergency in Finland over coronavirus outbreak",Management,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/10616/hallitus-totesi-suomen-olevan-poikkeusoloissa-koronavirustilanteen-vuoksi
16.3.2020,,National,"The premises of schools, educational institutions, universities, universities of applied sciences, basic art education as well as civic education and other liberal education institutes will be closed until 13 April 2020",Schools closes,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1410845/valtioneuvoston-linjaus-suosituksista-varhaiskasvatuksen-esiopetuksen-perusopetuksen-lukio-ja-ammatillisen-koulutuksen-korkeakoulutuksen-vapaan-sivist
16.3.2020,,National,"All national and municipal museums, theatres, the National Opera, cultural venues, libraries, mobile libraries, services for customer and researchers at the National Archives, hobby and leisure centres, swimming pools and other sports facilities, youth centres, clubs, organisations’ meeting rooms, day care services for the elderly, rehabilitative work facilities and workshops will be closed until 13 April.",Society - publlic facilities closes,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1410845/valtioneuvoston-linjaus-suosituksista-varhaiskasvatuksen-esiopetuksen-perusopetuksen-lukio-ja-ammatillisen-koulutuksen-korkeakoulutuksen-vapaan-sivist
12.3.2020,,National,Prohibiting public events in Finland,Society - restrictions,https://valtioneuvosto.fi/en/artikkeli/-/asset_publisher/1271139/yleisotilaisuuksien-kieltaminen-stm-on-lahettanyt-toimenpideohjeet-aluehallintovirastoille
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Denmark ,,,,,
Date,,Region ,Event,Filter,Source
28/1/2020,,National,"SST: ""Novel coronavirus – still only low risk in Denmark""",,https://www.sst.dk/da/Nyheder/2020/Ny-Coronavirus-_-fortsat-kun-lav-risiko-i-Danmark/Novel-coronavirus-%E2%80%93-still-only-low-risk-in-Denmark
27/2/2020,,National ,First case confirmed,First case,https://www.ssi.dk/aktuelt/nyheder/2020/02_27_foerste-tilfaelde-af-ny-coronavirus-i-dk
29/2/2020,,National,Danish Health Authority; All infected people that have no or mild symptoms and are not considered particularly vulnerable are placed in home quarantine with daily contact from health professionals.,Quarantine,https://www.dr.dk/nyheder/indland/fjerde-dansker-smittet-med-coronavirus-det-goer-sundhedsstyrelsen-nu
6/3/20,,National ,"Aarhus University Hospital made a ""drive-through"" test facility",Testing ,https://jv.dk/artikel/%C3%B8stjysk-sygehus-laver-drive-in-test-for-tjek-af-coronavirus
7/3/20,,National,Change of Danish travel advice to prevent further Corona infection in Denmark,Travel restrictions,https://um.dk/en/news/newsdisplaypage/?newsid=d5e4a8f3-8547-43de-838d-2648410ae63a
10/3/20,,National,Authorities reccomend people that use public transportation should attempt to reduce their travel in peak hours. ,Travel restrictions,https://www.dr.dk/nyheder/indland/undgaa-visse-rejser-og-drop-tog-i-myldretiden-her-er-myndighedernes-corona
11/3/20,,National,Restricions of social gatherings - The limit was lowered to one hundred people. ,Society - social restrictions,https://nyheder.tv2.dk/samfund/2020-03-11-mette-f-forsamlinger-over-100-mennesker-skal-forbydes
11/3/20,,National,All flights from high risk regions were cancelled.,Travel restrictions,https://www.dr.dk/nyheder/politik/regeringen-indfoerer-begraensninger-i-busser-tog-og-metro-indstiller-fly-fra-ramte
11/3/20,,National,"Danish Health Authority announced a change of strategy, which means that only people hospitalized with severe signs of respiratory illness or shortness of breath, will be examined for COVID-19 infection",Testing ,https://jyllands-posten.dk/indland/ECE12003712/sundhedsstyrelsen-skifter-strategi-ikke-alle-coronasymptomer-skal-testes/
13/3/2020,,National,Ministry of Justice now advises against all unnecessary travel - closure of danish border,Travel restrictions,https://politi.dk/en/coronavirus-in-denmark/latest-news-and-hotlines/ministry-of-foreign-affairs-of-denmark-now-advises-against-all-unnecessary-travel
13/3/2020,,National,All people working in non-essential functions in the public sector ordered to stay home for two weeks,Society - social restrictions,https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag
13/3/2020,,National,"All secondary education, universities, libraries, indoor cultural institutions closed.",Society - social restrictions,https://www.timeshighereducation.com/news/coronavirus-austria-denmark-and-ireland-shut-universities
14/3/2020,,National,First death of Covid-10,Critical cases,https://www.worldometers.info/coronavirus/country/denmark/
16/3/2020,,National,"All primary schools, daycare and similar places closed for two weeks.",Society ,https://nyheder.tv2.dk/samfund/2020-03-11-danmark-lukker-ned-her-er-regeringens-nye-tiltag
18/3/2020,,National,"Illegal to assemble more than ten people in public, all shopping centres and stores with close contact such as hairdressers and nightclubs must be closed, restaurants can only serve take-away, and other businesses must ensure that there is enough space between customers.",Society - social restrictions,https://www.dr.dk/nyheder/politik/faa-overblikket-over-de-nye-corona-tiltag-se-hvad-du-ikke-maa-fra-i-dag-klokken-10
27/3/2020,,National,"Søren Brostrøm admits wrongdoing: Should have tested more broadly""",,https://www.dr.dk/nyheder/indland/brostroem-erkender-fejl-vi-skulle-have-testet-bredere
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,Bra lista,https://politi.dk/coronavirus-i-danmark/seneste-nyt-fra-myndighederne,,
